Started,Page Title,Page ID,Device Name,User Name,Time,Sent,Received,Method,Result,Type,URL,Render Start,DOM Load,HTTP Load,Page Load,Network,Cache Read
,Session already exists,1,SHA-LRI-PC-155,jeff yang,0.757,5172,5276,,,,,0.818,0.807,0.757,0.815,,
2016-12-22 16:57:11.061000,,1,SHA-LRI-PC-155,jeff yang,0.148,601,208,POST,302,Redirect to http://54.193.33.252:8080/colline/index.do?j_winname=colline536842207277247930a,http://54.193.33.252:8080/colline/j_security_check,,,,,0.144,
2016-12-22 16:57:11.209000,,1,SHA-LRI-PC-155,jeff yang,0.148,477,390,GET,302,Redirect to http://54.193.33.252:8080/colline/index.do?j_winname=colline536842207277247930a,http://54.193.33.252:8080/colline/index.do?j_winname=colline536842207277247930a,,,,,0.146,
2016-12-22 16:57:11.357000,,1,SHA-LRI-PC-155,jeff yang,0.148,477,398,GET,302,Redirect to http://54.193.33.252:8080/colline/stealSession.jsp?j_winname=colline536842207277247930a,http://54.193.33.252:8080/colline/index.do?j_winname=colline536842207277247930a,,,,,0.146,
2016-12-22 16:57:11.506000,,1,SHA-LRI-PC-155,jeff yang,0.155,485,2592,GET,200,html,http://54.193.33.252:8080/colline/stealSession.jsp?j_winname=colline536842207277247930a,,,,,0.153,
2016-12-22 16:57:11.664000,,1,SHA-LRI-PC-155,jeff yang,0.146,526,282,GET,304,javascript,http://54.193.33.252:8080/colline/lrsux/lrsux/lrsux.min.js,,,,,0.143,0.002
2016-12-22 16:57:11.665000,,1,SHA-LRI-PC-155,jeff yang,0.144,507,281,GET,304,css,http://54.193.33.252:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.css,,,,,0.142,0.001
2016-12-22 16:57:11.665000,,1,SHA-LRI-PC-155,jeff yang,0.144,532,282,GET,304,javascript,http://54.193.33.252:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.js,,,,,0.142,0.001
2016-12-22 16:57:11.666000,,1,SHA-LRI-PC-155,jeff yang,0.144,501,281,GET,304,css,http://54.193.33.252:8080/colline/common/styles/content.css,,,,,0.141,0.002
2016-12-22 16:57:11.667000,,1,SHA-LRI-PC-155,jeff yang,0.144,528,281,GET,304,javascript,http://54.193.33.252:8080/colline/common/script/browserVer.js,,,,,0.143,< 0.001
2016-12-22 16:57:11.668000,,1,SHA-LRI-PC-155,jeff yang,0.150,538,281,GET,304,,http://54.193.33.252:8080/colline/img/app/dyn_logo.img,,,,,0.144,0.005
,http://54.193.33.252:8080/colline/index.do?j_winname=colline82233607652108130a&continue=Continue,2,SHA-LRI-PC-155,jeff yang,1.844,16261,133860,,,,,0.931,1.401,1.844,1.851,,
2016-12-22 16:57:12.004000,,2,SHA-LRI-PC-155,jeff yang,0.146,571,324,POST,302,Redirect to http://54.193.33.252:8080/colline/index.do?j_winname=colline82233607652108130a&continue=Continue,http://54.193.33.252:8080/colline/index.do,,,,,0.145,
2016-12-22 16:57:12.150000,,2,SHA-LRI-PC-155,jeff yang,0.169,502,407,GET,302,Redirect to http://54.193.33.252:8080/colline/index.do?j_winname=colline82233607652108130a&continue=Continue,http://54.193.33.252:8080/colline/index.do?j_winname=colline82233607652108130a&continue=Continue,,,,,0.167,
2016-12-22 16:57:12.318000,,2,SHA-LRI-PC-155,jeff yang,0.535,502,33415,GET,200,html,http://54.193.33.252:8080/colline/index.do?j_winname=colline82233607652108130a&continue=Continue,,,,,0.533,
2016-12-22 16:57:12.601000,,2,SHA-LRI-PC-155,jeff yang,0.143,535,282,GET,304,javascript,http://54.193.33.252:8080/colline/lrsux/lrsux/lrsux.min.js,,,,,0.141,0.001
2016-12-22 16:57:12.601000,,2,SHA-LRI-PC-155,jeff yang,0.144,516,281,GET,304,css,http://54.193.33.252:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.css,,,,,0.142,0.001
2016-12-22 16:57:12.602000,,2,SHA-LRI-PC-155,jeff yang,0.149,541,282,GET,304,javascript,http://54.193.33.252:8080/colline/lrsux/lrsux-ui/lrsux-ui.min.js,,,,,0.143,0.005
2016-12-22 16:57:12.602000,,2,SHA-LRI-PC-155,jeff yang,0.143,530,278,GET,304,css,http://54.193.33.252:8080/colline/common/styles/collineCssTheme/topBar_colline.css,,,,,0.141,0.001
2016-12-22 16:57:12.603000,,2,SHA-LRI-PC-155,jeff yang,0.144,508,280,GET,304,css,http://54.193.33.252:8080/colline/common/styles/layout.css,,,,,0.142,0.001
2016-12-22 16:57:12.604000,,2,SHA-LRI-PC-155,jeff yang,0.287,513,280,GET,304,css,http://54.193.33.252:8080/colline/common/styles/application.css,,,,,0.145,0.001
2016-12-22 16:57:12.604000,,2,SHA-LRI-PC-155,jeff yang,0.289,510,281,GET,304,css,http://54.193.33.252:8080/colline/common/styles/content.css,,,,,0.146,0.001
2016-12-22 16:57:12.605000,,2,SHA-LRI-PC-155,jeff yang,0.289,511,279,GET,304,css,http://54.193.33.252:8080/colline/common/styles/actionmenu.css,,,,,0.144,0.001
2016-12-22 16:57:12.605000,,2,SHA-LRI-PC-155,jeff yang,0.290,532,280,GET,304,javascript,http://54.193.33.252:8080/colline/common/script/layout.js,,,,,0.145,0.001
2016-12-22 16:57:12.606000,,2,SHA-LRI-PC-155,jeff yang,0.294,537,281,GET,304,javascript,http://54.193.33.252:8080/colline/common/script/layout-ext.js,,,,,0.145,0.003
2016-12-22 16:57:12.606000,,2,SHA-LRI-PC-155,jeff yang,0.391,537,281,GET,304,javascript,http://54.193.33.252:8080/colline/common/script/browserVer.js,,,,,0.141,0.001
2016-12-22 16:57:12.606000,,2,SHA-LRI-PC-155,jeff yang,0.429,532,280,GET,304,javascript,http://54.193.33.252:8080/colline/common/script/cookie.js,,,,,0.143,0.001
2016-12-22 16:57:12.607000,,2,SHA-LRI-PC-155,jeff yang,0.719,515,47805,GET,200,javascript,http://54.193.33.252:8080/colline/dwr/engine.js,,,,,0.432,
2016-12-22 16:57:12.607000,,2,SHA-LRI-PC-155,jeff yang,0.435,513,250,GET,304,javascript,http://54.193.33.252:8080/colline/dwr/util.js,,,,,0.148,< 0.001
2016-12-22 16:57:12.608000,,2,SHA-LRI-PC-155,jeff yang,0.438,446,693,GET,200,javascript,http://54.193.33.252:8080/colline/dwr/interface/SSOHelper.js,,,,,0.149,
2016-12-22 16:57:12.608000,,2,SHA-LRI-PC-155,jeff yang,0.440,570,279,GET,304,gif,http://54.193.33.252:8080/colline/img/app/collineLogoTheme/colline_PBL_logo.gif,,,,,0.146,0.002
2016-12-22 16:57:12.608000,,2,SHA-LRI-PC-155,jeff yang,0.533,574,280,GET,304,png,http://54.193.33.252:8080/colline/img/app/collineLogoTheme/colline_topBar_logo.png,,,,,0.142,0.002
